City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
323,Flin Flon,CA,54.7682,-101.865,46.11,80,100,7.36,overcast clouds
324,Boyolangu,ID,-8.1181,111.8935,82.69,76,100,7.25,light rain
325,Skalat,UA,49.4273,25.9787,37.26,82,6,14.14,clear sky
326,Grand-Santi,GF,4.25,-54.3833,71.62,100,50,2.3,scattered clouds
327,Angoche,MZ,-16.2325,39.9086,80.89,62,0,4.74,clear sky
328,Verlaine,BE,50.6075,5.3189,57.31,77,0,5.75,clear sky
329,Tateyama,JP,34.9833,139.8667,65.28,46,0,1.81,clear sky
330,Grand Island,US,40.925,-98.342,49.28,54,0,8.05,clear sky
331,Port Hardy,CA,50.6996,-127.4199,54.9,96,100,10.69,light rain
332,Butaritari,KI,3.0707,172.7902,82.18,73,65,11.36,broken clouds
333,Isangel,VU,-19.55,169.2667,75.11,66,95,13.38,overcast clouds
334,Kolondieba,ML,11.0882,-6.8926,72.57,81,22,3.91,few clouds
335,Mutare,ZW,-18.9707,32.6709,72.01,44,46,7.0,scattered clouds
336,Qaqortoq,GL,60.7167,-46.0333,29.19,67,0,5.28,clear sky
337,Hirara,JP,24.8,125.2833,76.89,71,99,24.94,overcast clouds
338,Cabedelo,BR,-6.9811,-34.8339,75.87,75,63,14.03,broken clouds
339,Banyo,CM,6.75,11.8167,65.77,92,100,0.56,overcast clouds
340,Novaya Lyalya,RU,59.055,60.599,39.0,64,51,10.22,broken clouds
341,Sitka,US,57.0531,-135.33,51.69,71,100,16.11,overcast clouds
342,Chapais,CA,49.7834,-74.8492,35.38,96,100,4.18,overcast clouds
343,Abalak,RU,58.1286,68.5944,42.21,70,94,8.7,overcast clouds
344,Neyyattinkara,IN,8.4,77.0833,84.06,70,87,8.25,overcast clouds
